sku,name,unit,price
DSK-0009,Диск отрезной по металлу 230х2.0х22.2,шт,190.17
DSK-0010,Диск отрезной по металлу 230х2.5х22.2,шт,95.57
DSK-0011,Диск отрезной по камню 115х2.5х22.2,шт,88.77
DSK-0012,Диск отрезной по камню 125х2.5х22.2,шт,273.67
DSK-0013,Диск отрезной по камню 230х2.5х22.2,шт,119.09
DSK-0014,Диск отрезной по нержавеющей стали 115х1.0х22.2,шт,188.77
DSK-0015,Диск отрезной по нержавеющей стали 125х1.0х22.2,шт,194.36
DSK-0016,Диск отрезной по нержавеющей стали 125х1.2х22.2,шт,149.33
DSK-0017,Диск шлифовальный зачистной 115х6.0х22.2,шт,282.61
DSK-0018,Диск шлифовальный зачистной 125х6.0х22.2,шт,262.52
DSK-0019,Диск шлифовальный зачистной 180х6.0х22.2,шт,398.45
DSK-0020,Диск шлифовальный зачистной 230х6.0х22.2,шт,157.41
DSK-0021,Диск лепестковый торцевой 115 мм P40,шт,303.37
DSK-0022,Диск лепестковый торцевой 115 мм P60,шт,174.45
DSK-0023,Диск лепестковый торцевой 115 мм P80,шт,216.86
DSK-0024,Диск лепестковый торцевой 115 мм P120,шт,291.36
DSK-0025,Диск лепестковый торцевой 125 мм P40,шт,191.00
DSK-0026,Диск лепестковый торцевой 125 мм P60,шт,195.37
DSK-0027,Диск лепестковый торцевой 125 мм P80,шт,313.00
DSK-0028,Диск лепестковый торцевой 125 мм P120,шт,129.59
DSK-0029,Диск пильный по дереву 165 мм 24 зубьев,шт,831.20
DSK-0030,Диск пильный по дереву 165 мм 36 зубьев,шт,1398.38
DSK-0031,Диск пильный по дереву 165 мм 48 зубьев,шт,1395.90
DSK-0032,Диск пильный по дереву 190 мм 24 зубьев,шт,426.92
DSK-0033,Диск пильный по дереву 190 мм 36 зубьев,шт,573.81
DSK-0034,Диск пильный по дереву 190 мм 48 зубьев,шт,628.46
DSK-0035,Диск пильный по дереву 210 мм 24 зубьев,шт,1329.92
DSK-0036,Диск пильный по дереву 210 мм 36 зубьев,шт,1274.91
DSK-0037,Диск пильный по дереву 210 мм 48 зубьев,шт,1273.23
INS-0001,Дрель ударная ТехноРесурс ТР-750 (750 Вт),шт,3749.91
INS-0002,Дрель ударная ТехноРесурс ТР-900 (900 Вт),шт,3904.79
INS-0003,Шуруповёрт аккумуляторный ТехноРесурс ТР-12Л (12 В),шт,6334.73
INS-0004,Шуруповёрт аккумуляторный ТехноРесурс ТР-18Л (18 В),шт,8436.28
INS-0005,Перфоратор SDS-plus ТехноРесурс ТР-26 (2.8 Дж),шт,11548.75
INS-0006,"УШМ ТехноРесурс ТР-125 (125 мм, 900 Вт)",шт,5562.98
INS-0007,"УШМ ТехноРесурс ТР-230 (230 мм, 2100 Вт)",шт,9758.46
INS-0008,Дрель ударная Prowerk PW-750 (750 Вт),шт,2917.99
INS-0009,Дрель ударная Prowerk PW-900 (900 Вт),шт,6014.73
INS-0010,Шуруповёрт аккумуляторный Prowerk PW-12Л (12 В),шт,4517.89
INS-0011,Шуруповёрт аккумуляторный Prowerk PW-18Л (18 В),шт,8251.59
INS-0012,Перфоратор SDS-plus Prowerk PW-26 (2.8 Дж),шт,14035.87
INS-0013,"УШМ Prowerk PW-125 (125 мм, 900 Вт)",шт,3089.44
INS-0014,"УШМ Prowerk PW-230 (230 мм, 2100 Вт)",шт,6581.03
INS-0015,Дрель ударная Арсенал-Т АРС-750 (750 Вт),шт,3146.18
INS-0016,Дрель ударная Арсенал-Т АРС-900 (900 Вт),шт,5170.32
INS-0017,Шуруповёрт аккумуляторный Арсенал-Т АРС-12Л (12 В),шт,4425.98
INS-0018,Шуруповёрт аккумуляторный Арсенал-Т АРС-18Л (18 В),шт,7982.22
INS-0019,Перфоратор SDS-plus Арсенал-Т АРС-26 (2.8 Дж),шт,12353.85
INS-0020,"УШМ Арсенал-Т АРС-125 (125 мм, 900 Вт)",шт,3290.43
INS-0021,"УШМ Арсенал-Т АРС-230 (230 мм, 2100 Вт)",шт,9642.00
INS-0022,Дрель ударная ToolKraft TK-750 (750 Вт),шт,3507.16
INS-0023,Дрель ударная ToolKraft TK-900 (900 Вт),шт,4963.30
INS-0024,Шуруповёрт аккумуляторный ToolKraft TK-12Л (12 В),шт,6578.14
INS-0025,Шуруповёрт аккумуляторный ToolKraft TK-18Л (18 В),шт,9092.08
INS-0026,Перфоратор SDS-plus ToolKraft TK-26 (2.8 Дж),шт,7601.47
INS-0027,"УШМ ToolKraft TK-125 (125 мм, 900 Вт)",шт,3928.37
INS-0028,"УШМ ToolKraft TK-230 (230 мм, 2100 Вт)",шт,7532.41
INS-0029,Лобзик электрический ТехноРесурс ТР-580 (580 Вт),шт,3211.35
INS-0030,Фен строительный ТехноРесурс ТР-2000 (2000 Вт),шт,4250.69
INS-0031,Лобзик электрический Prowerk PW-580 (580 Вт),шт,5238.76
INS-0032,Фен строительный Prowerk PW-2000 (2000 Вт),шт,3028.69
PER-0001,Перчатки х/б с ПВХ покрытием (точка),пара,243.66
PER-0002,Перчатки нитриловые маслобензостойкие,пара,187.75
PER-0003,Перчатки спилковые усиленные,пара,151.17
PER-0004,Перчатки прорезиненные утеплённые,пара,27.85
PER-0005,Перчатки латексные хозяйственные,пара,47.20
PER-0006,Перчатки с полиуретановым покрытием,пара,285.52
RAS-0001,Изолента ПВХ 19 мм х 20 м синяя,шт,85.68
RAS-0002,Изолента ПВХ 19 мм х 20 м черная,шт,69.55
RAS-0003,Изолента ПВХ 19 мм х 20 м красная,шт,82.56
RAS-0004,Изолента ПВХ 19 мм х 20 м белая,шт,71.21
RAS-0005,Изолента ПВХ 19 мм х 20 м желто-зеленая,шт,51.66
RAS-0006,Скотч малярный 25 мм х 25 м,шт,72.74
RAS-0007,Скотч малярный 38 мм х 25 м,шт,90.83
RAS-0008,Скотч малярный 50 мм х 25 м,шт,149.90
RAS-0009,Стяжка нейлоновая 2.5х100 белая (уп. 100 шт),уп,320.88
RAS-0010,Стяжка нейлоновая 2.5х150 белая (уп. 100 шт),уп,339.60
RAS-0011,Стяжка нейлоновая 3.6х200 белая (уп. 100 шт),уп,350.69
RAS-0012,Стяжка нейлоновая 3.6х300 белая (уп. 100 шт),уп,150.92
RAS-0013,Стяжка нейлоновая 4.8х300 белая (уп. 100 шт),уп,162.36
RAS-0014,Стяжка нейлоновая 4.8х400 белая (уп. 100 шт),уп,119.81
RAS-0015,Пена монтажная бытовая 500 мл,шт,384.82
RAS-0016,Пена монтажная профессиональная 750 мл,шт,609.88
RAS-0017,Герметик силиконовый белый 260 мл,шт,245.02
RAS-0018,Герметик силиконовый прозрачный 260 мл,шт,279.31
RAS-0019,Герметик акриловый белый 260 мл,шт,161.64
RAS-0020,Нож строительный сегментный 18 мм,шт,454.76
RAS-0021,Нож строительный сегментный 25 мм,шт,505.84
RAS-0022,Лезвия сменные сегментные 18 мм (уп. 10 шт),уп,177.14
RAS-0023,Лезвия сменные сегментные 25 мм (уп. 10 шт),уп,193.51
RAS-0024,Рулетка 3 м х 16 мм,шт,298.65
RAS-0025,Рулетка 5 м х 19 мм,шт,196.20
RAS-0026,Рулетка 7.5 м х 25 мм,шт,547.80
RAS-0027,Карандаш строительный (уп. 12 шт),уп,119.90
RAS-0028,Маркер перманентный черный,шт,105.50
RAS-0029,Маркер перманентный синий,шт,97.15
RAS-0030,Респиратор FFP1 с клапаном,шт,129.13
RAS-0031,Респиратор FFP2 с клапаном,шт,187.29
RAS-0032,Очки защитные открытые прозрачные,шт,135.36
RAS-0033,Очки защитные закрытые с обтюратором,шт,449.83
RAS-0034,Мешки для строительного мусора 60 л (уп. 10 шт),уп,104.05
RAS-0035,Мешки для строительного мусора 120 л (уп. 10 шт),уп,296.99
RAS-0036,Кисть плоская натуральная щетина 25 мм,шт,228.89
RAS-0037,Кисть плоская натуральная щетина 50 мм,шт,88.94
RAS-0038,Кисть плоская натуральная щетина 75 мм,шт,219.65
RAS-0039,Кисть плоская натуральная щетина 100 мм,шт,141.27
RAS-0040,Валик полиакриловый 100 мм с ручкой,шт,211.56
RAS-0041,Валик полиакриловый 180 мм с ручкой,шт,358.60
RAS-0042,Валик полиакриловый 250 мм с ручкой,шт,188.28
RAS-0043,Ванночка малярная 230х290 мм,шт,62.13
RAS-0044,Удлинитель силовой на катушке 10 м (1 розетка),шт,1228.32
RAS-0045,Удлинитель силовой на катушке 20 м (1 розетка),шт,1458.05
RAS-0046,Удлинитель силовой на катушке 30 м (1 розетка),шт,2369.40
RAS-0047,Удлинитель бытовой 5 м (3 розетки),шт,885.10
RAS-0048,Шкурка шлифовальная листовая P60 230х280 мм,лист,37.56
RAS-0049,Шкурка шлифовальная листовая P80 230х280 мм,лист,53.87
RAS-0050,Шкурка шлифовальная листовая P120 230х280 мм,лист,42.99
RAS-0051,Шкурка шлифовальная листовая P150 230х280 мм,лист,69.15
RAS-0052,Шкурка шлифовальная листовая P180 230х280 мм,лист,49.13
RAS-0053,Шкурка шлифовальная листовая P240 230х280 мм,лист,67.27
RAS-0054,Круг шлифовальный на липучке 125 мм P40 (уп. 5 шт),уп,107.30
RAS-0055,Круг шлифовальный на липучке 125 мм P60 (уп. 5 шт),уп,235.56
RAS-0056,Круг шлифовальный на липучке 125 мм P80 (уп. 5 шт),уп,116.79
RAS-0057,Круг шлифовальный на липучке 125 мм P120 (уп. 5 шт),уп,234.38
RAS-0058,Круг шлифовальный на липучке 125 мм P180 (уп. 5 шт),уп,129.82
RAS-0059,Круг шлифовальный на липучке 125 мм P240 (уп. 5 шт),уп,106.26
RAS-0060,Лента ФУМ 12 мм х 10 м,шт,51.73
RAS-0061,Хомут червячный 16-27 мм,шт,72.36
RAS-0062,Хомут червячный 20-32 мм,шт,45.39
RAS-0063,Хомут червячный 32-50 мм,шт,64.40
GKL-0001,Лист гипсокартонный 9.5х1200х2500 мм,лист,422.28
GKL-0002,Лист гипсокартонный 12.5х1200х2500 мм,лист,437.04
GKL-0003,Лист гипсокартонный влагостойкий 12.5х1200х2500 мм,лист,618.38
GKL-0004,Лист гипсокартонный огнестойкий 12.5х1200х2500 мм,лист,586.23
GKL-0005,Профиль потолочный ПП 60х27 (3 м),шт,293.41
GKL-0006,Профиль направляющий ПН 27х28 (3 м),шт,140.20
GKL-0007,Профиль стоечный ПС 50х50 (3 м),шт,442.14
GKL-0008,Профиль стоечный ПС 75х50 (3 м),шт,349.23
GKL-0009,Профиль стоечный ПС 100х50 (3 м),шт,392.66
GKL-0010,Профиль направляющий ПН 50х40 (3 м),шт,328.39
GKL-0011,Профиль направляющий ПН 75х40 (3 м),шт,314.13
GKL-0012,Профиль направляющий ПН 100х40 (3 м),шт,252.84
GKL-0013,Подвес прямой 60х27,шт,13.26
GKL-0014,Соединитель одноуровневый краб 60х27,шт,48.25
GKL-0015,Удлинитель профиля 60х27,шт,23.26
GKL-0016,Лента серпянка 45 мм х 20 м,шт,85.11
GKL-0017,Лента серпянка 45 мм х 90 м,шт,295.68
GKL-0018,Лента демпферная 30 мм х 30 м,шт,326.75
GKL-0019,Уголок перфорированный алюминиевый 25х25 (3 м),шт,120.03
KRP-0001,Болт DIN933 М6х20 оцинкованный,шт,21.32
KRP-0002,Болт DIN933 М6х30 оцинкованный,шт,26.87
KRP-0003,Болт DIN933 М6х40 оцинкованный,шт,26.53
